,price,property_type,subproperty_type,locality,construction_year,total_area_sqm,nbr_bedrooms,fl_furnished,fl_open_fire,terrace_sqm,garden_sqm,fl_swimming_pool,fl_floodzone,primary_energy_consumption_sqm,heating_type,fl_double_glazing,cadastral_income,kitchen_type,state_of_building
0,225000.0,APARTMENT,APARTMENT,Antwerp,1963.0,100.0,2.0,0,0,5.0,0.0,0,0,231.0,GAS,1,922.0,3.0,3.6935332741295
1,501000.0,HOUSE,HOUSE,Turnhout,2024.0,187.0,3.0,0,0,0.0,0.0,0,1,99.0,GAS,0,1415.9202182905433,3.627721478647192,4.13418447171125
2,982700.0,APARTMENT,DUPLEX,Nivelles,2022.0,169.0,2.0,0,0,20.0,142.0,0,0,19.0,GAS,0,2082.5355961687874,5.0,6.0
4,549000.0,HOUSE,VILLA,Dendermonde,2001.0,185.0,4.0,0,0,0.0,0.0,0,0,142.0,GAS,1,1482.3464963121337,5.0,6.0
5,175000.0,APARTMENT,FLAT_STUDIO,Brussels,1968.0,38.0,0.0,0,0,0.0,0.0,0,0,265.0,GAS,1,731.0,3.0,4.0
6,130000.0,APARTMENT,GROUND_FLOOR,Hasselt,1982.0,49.0,1.0,0,0,0.0,0.0,0,1,221.0,GAS,1,617.0,3.4501209859233173,4.0
7,165000.0,HOUSE,HOUSE,Liège,1918.0,109.0,3.0,0,0,0.0,0.0,0,0,295.0,FUELOIL,0,371.0,3.4614015750966374,3.993096038805026
8,320844.0,APARTMENT,APARTMENT,Brugge,2021.0,112.0,3.0,0,0,0.0,0.0,0,0,0.0,GAS,0,1166.605790176138,3.538566591834397,4.0583941625418865
9,300000.0,HOUSE,HOUSE,Oudenaarde,1938.0,204.0,4.0,0,0,0.0,0.0,0,0,286.0,GAS,1,604.0,3.0,3.70304379498196
10,725000.0,HOUSE,HOUSE,Nivelles,1992.0,480.0,5.0,0,0,25.0,700.0,0,1,424.0,FUELOIL,1,1725.9095158960959,5.0,4.0
11,265000.0,APARTMENT,APARTMENT,Antwerp,1978.0,102.0,2.0,0,0,10.0,0.0,0,0,119.0,GAS,1,1068.0,3.0,5.0
12,159000.0,HOUSE,HOUSE,Liège,1981.0,100.0,2.0,0,0,18.0,0.0,0,0,353.0,PELLET,1,410.0,3.0,3.0
13,349000.0,APARTMENT,APARTMENT,Kortrijk,2023.0,124.0,3.0,0,0,26.0,0.0,0,1,99.0,GAS,0,1205.5703377807106,3.5330737900393765,4.0
14,174400.0,APARTMENT,APARTMENT,Brugge,1970.0,87.0,2.0,0,0,0.0,0.0,0,0,560.0,GAS,0,963.9447513703611,3.1904069838112035,3.0
15,235000.0,APARTMENT,DUPLEX,Brussels,1960.0,95.0,2.0,0,0,0.0,0.0,0,1,558.0,GAS,0,1047.8079273962667,3.4899222606827123,4.0
16,160000.0,APARTMENT,FLAT_STUDIO,Brussels,1968.0,30.0,0.0,0,0,0.0,0.0,0,1,294.0,GAS,1,736.0,3.4614919704945772,4.0
17,765000.0,APARTMENT,APARTMENT,Brugge,1971.0,88.0,3.0,0,0,0.0,0.0,0,1,215.0,GAS,1,919.0,4.243522209883131,6.0
18,499000.0,HOUSE,EXCEPTIONAL_PROPERTY,Leuven,2023.0,231.0,3.0,0,0,0.0,630.0,0,1,31.0,GAS,0,1413.152456669909,5.0,6.0
19,335000.0,HOUSE,TOWN_HOUSE,Huy,2020.0,250.0,5.0,0,0,0.0,0.0,0,0,126.0,FUELOIL,1,1.0,3.5454924264065824,4.064908788431952
20,365000.0,HOUSE,HOUSE,Sint-Niklaas,1958.0,200.0,4.0,0,1,0.0,400.0,0,0,711.0,GAS,1,1227.7124304561062,1.0,4.0
21,675200.0,APARTMENT,PENTHOUSE,Liège,2023.0,169.0,3.0,0,1,51.0,0.0,0,1,119.0,GAS,1,1656.9922523998503,4.0,4.396773479856128
22,282150.0,APARTMENT,APARTMENT,Veurne,2023.0,69.0,1.0,0,0,18.0,0.0,0,0,0.0,GAS,0,1113.0579067789556,3.5077695818157535,4.0
23,269000.0,APARTMENT,APARTMENT,Halle-Vilvoorde,2022.0,80.0,1.0,0,0,14.0,0.0,0,0,40.0,GAS,0,1094.8598743522784,3.5129102387186384,4.036583771610824
24,198000.0,APARTMENT,APARTMENT,Tournai,2024.0,85.0,2.0,0,0,11.0,0.0,0,0,8704.0,GAS,1,996.6043380157314,3.0,6.0
25,175000.0,APARTMENT,GROUND_FLOOR,Namur,1983.0,115.0,3.0,0,0,7.0,0.0,0,0,513.0,GAS,0,1360.0,4.0,4.0
